Time,Speed_des,Speed,Duty_Cycle,Position
56.36,1.0,1.05,3.33,-3.56
56.46,1.0,1.07,3.33,-3.53
56.56,1.0,1.06,3.33,-3.56
56.66,1.0,1.05,3.33,-3.56
56.76,1.0,1.04,3.33,-3.53
56.86,1.0,1.06,3.33,-3.56
56.96,1.0,1.04,3.33,-3.53
57.05,1.0,1.05,3.33,-3.56
57.15,1.0,1.05,3.33,-3.56
57.25,1.0,1.03,3.33,-3.56
57.35,1.0,1.05,3.33,-3.53
57.45,1.0,1.03,3.33,-3.53
57.55,1.0,1.04,3.33,-3.56
57.65,1.0,1.04,3.33,-3.56
57.74,1.0,1.04,3.33,-3.56
57.84,1.0,1.04,3.33,-3.53
57.94,1.0,1.05,3.33,-3.56
58.04,1.0,1.04,3.33,-3.53
58.14,1.0,1.03,3.33,-3.53
58.24,1.0,1.03,3.33,-3.56
58.34,1.0,1.03,3.33,-3.56
58.43,1.0,1.01,3.33,-3.53
58.53,1.0,1.02,3.33,-3.56
58.63,1.0,1.0,3.33,-3.53
58.73,1.0,0.99,3.33,-3.53
58.83,1.0,1.0,3.33,-3.53
58.93,1.0,0.99,3.33,-3.53
59.03,1.0,1.0,3.33,-3.56
59.13,1.0,1.0,3.33,-3.53
59.22,1.0,1.05,3.33,-3.56
59.32,1.0,1.12,3.33,-3.56
59.42,1.0,1.14,3.33,-3.56
59.52,1.0,1.12,3.33,-3.56
59.62,1.0,1.15,3.33,-3.56
59.72,1.0,1.15,3.33,-3.56
59.81,1.0,1.12,3.33,-3.53
59.91,1.0,1.14,3.33,-3.56
60.01,1.0,1.12,3.33,-3.56
60.11,1.0,1.12,3.33,-3.53
60.21,1.0,1.06,3.33,-3.53
60.31,1.0,1.0,3.33,-3.56
60.41,1.0,0.97,3.33,-3.56
60.51,1.0,0.98,3.33,-3.53
60.61,1.0,0.97,3.33,-3.56
60.7,1.0,0.97,3.33,-3.53
60.8,1.0,0.98,3.33,-3.53
60.9,1.0,0.97,3.33,-3.56
61.0,1.0,0.98,3.33,-3.53
61.1,1.0,1.0,3.33,-3.53
61.2,1.0,1.0,3.33,-3.56
61.29,1.0,0.99,3.33,-3.53
61.39,1.0,1.01,3.33,-3.56
61.49,1.0,1.01,3.33,-3.53
61.59,1.0,1.01,3.33,-3.56
61.69,1.0,1.02,3.33,-3.53
61.79,1.0,1.03,3.33,-3.56
61.89,1.0,1.02,3.33,-3.53
61.99,1.0,1.02,3.33,-3.53
62.08,1.0,1.01,3.33,-3.56
62.18,1.0,1.01,3.33,-3.53
62.28,1.0,1.02,3.33,-3.53
62.38,1.0,1.01,3.33,-3.56
62.48,1.0,1.02,3.33,-3.53
62.58,1.0,1.01,3.33,-3.56
62.68,1.0,1.02,3.33,-3.53
62.77,1.0,1.02,3.33,-3.56
62.87,1.0,1.02,3.33,-3.53
62.97,1.0,1.03,3.33,-3.56
63.07,1.0,1.03,3.33,-3.53
63.17,1.0,1.04,3.33,-3.53
63.27,1.0,1.04,3.33,-3.53
63.37,1.0,1.04,3.33,-3.56
63.47,1.0,1.05,3.33,-3.56
63.56,1.0,1.04,3.33,-3.56
94.03,1.0,1.05,3.33,-3.56
93.74,1.0,1.02,3.33,-3.53
93.83,1.0,1.03,3.33,-3.53
93.93,1.0,1.03,3.33,-3.53
94.03,1.0,1.05,3.33,-3.56
94.13,1.0,1.05,3.33,-3.56
94.23,1.0,1.04,3.33,-3.56
94.33,1.0,1.05,3.33,-3.53
94.43,1.0,1.05,3.33,-3.56
94.53,1.0,1.06,3.33,-3.56
94.62,1.0,1.05,3.33,-3.56
94.72,1.0,1.06,3.33,-3.56
94.82,1.0,1.05,3.33,-3.56
94.92,1.0,1.05,3.33,-3.56
